     index   k   n   earned
0      매출액   0  30   96.33%
1      매출액   1  30   76.02%
2      매출액   2  30   132.2%
3      매출액   3  30   76.15%
4      매출액   4  30   64.08%
5      매출액   5  30   31.23%
6      매출액   6  30  105.15%
7      매출액   7  30  104.16%
8      매출액   8  30   71.09%
9      매출액   9  30   80.41%
10     매출액  10  30   47.27%
11     매출액  11  30   71.63%
12     매출액  12  30   52.54%
13     매출액  13  30    73.8%
14     매출액  14  30    60.7%
15     매출액  15  30   80.47%
16     매출액  16  30   62.98%
17     매출액  17  30  100.02%
18     매출액  18  30   66.33%
19     매출액  19  30   26.42%
20     매출액  20  30   56.32%
21     매출액  21  30   71.82%
22     매출액  22  30   63.69%
23     매출액  23  30   32.85%
24     매출액  24  30   38.63%
25     매출액  25  30   55.32%
26     매출액  26  30    23.3%
27     매출액  27  30   31.78%
28     매출액  28  30   -3.18%
29     매출액  29  30    8.15%
30    영업이익   0  30   39.68%
31    영업이익   1  30   53.78%
32    영업이익   2  30   89.75%
33    영업이익   3  30   56.67%
34    영업이익   4  30   84.64%
35    영업이익   5  30  115.95%
36    영업이익   6  30   64.58%
37    영업이익   7  30    38.3%
38    영업이익   8  30  110.35%
39    영업이익   9  30   88.21%
40    영업이익  10  30   58.19%
41    영업이익  11  30   91.11%
42    영업이익  12  30   74.07%
43    영업이익  13  30   -2.27%
44    영업이익  14  30   53.29%
45    영업이익  15  30   51.96%
46    영업이익  16  30   59.24%
47    영업이익  17  30   79.98%
48    영업이익  18  30   67.05%
49    영업이익  19  30   78.41%
50    영업이익  20  30   59.25%
51    영업이익  21  30   49.84%
52    영업이익  22  30   47.36%
53    영업이익  23  30   62.43%
54    영업이익  24  30   46.32%
55    영업이익  25  30   20.56%
56    영업이익  26  30   21.55%
57    영업이익  27  30   26.49%
58    영업이익  28  30   30.83%
59    영업이익  29  30   23.13%
60   당기순이익   0  30   34.59%
61   당기순이익   1  30   25.84%
62   당기순이익   2  30   89.19%
63   당기순이익   3  30   64.77%
64   당기순이익   4  30   91.29%
65   당기순이익   5  30   67.99%
66   당기순이익   6  30   41.03%
67   당기순이익   7  30   65.11%
68   당기순이익   8  30   55.13%
69   당기순이익   9  30  135.29%
