   index   n  totalPercent   earned
0   -ROE   1           0.7  311.78%
1   -ROE   2           0.7  109.71%
2   -ROE   3           0.7   78.62%
3   -ROE   4           0.7   80.38%
4   -ROE   5           0.7   60.38%
5   -ROE   6           0.7   90.21%
6   -ROE   7           0.7   68.58%
7   -ROE   8           0.7   78.19%
8   -ROE   9           0.7    67.7%
9   -ROE  10           0.7   65.73%
10  -ROE  11           0.7    56.4%
11   EPS   1           0.7   13.63%
12   EPS   2           0.7   31.56%
13   EPS   3           0.7   22.73%
14   EPS   4           0.7    4.83%
15   EPS   5           0.7    2.03%
16   EPS   6           0.7    9.86%
17   EPS   7           0.7   22.79%
18   EPS   8           0.7   50.05%
19   EPS   9           0.7   72.57%
20   EPS  10           0.7   58.33%
21   EPS  11           0.7   62.15%
22   BPS   1           0.7    5.61%
23   BPS   2           0.7  -20.91%
24   BPS   3           0.7  -10.74%
25   BPS   4           0.7  -10.21%
26   BPS   5           0.7   15.19%
27   BPS   6           0.7   26.26%
28   BPS   7           0.7    22.0%
29   BPS   8           0.7    25.2%
30   BPS   9           0.7   40.85%
31   BPS  10           0.7   47.23%
32   BPS  11           0.7   52.67%
33   DPS   1           0.7  -41.59%
34   DPS   2           0.7   17.04%
35   DPS   3           0.7    28.1%
36   DPS   4           0.7   22.73%
37   DPS   5           0.7   46.01%
38   DPS   6           0.7   68.57%
39   DPS   7           0.7   63.31%
40   DPS   8           0.7   81.73%
41   DPS   9           0.7   76.03%
42   DPS  10           0.7   77.38%
43   DPS  11           0.7   64.06%
44   PER   1           0.7  794.36%
45   PER   2           0.7  408.58%
46   PER   3           0.7  248.19%
47   PER   4           0.7  187.23%
48   PER   5           0.7   151.3%
49   PER   6           0.7   117.6%
50   PER   7           0.7   88.75%
51   PER   8           0.7   76.36%
52   PER   9           0.7   73.51%
53   PER  10           0.7   69.53%
54   PER  11           0.7   57.75%
55   PBR   1           0.7  136.36%
56   PBR   2           0.7  176.68%
57   PBR   3           0.7  222.46%
58   PBR   4           0.7  198.85%
59   PBR   5           0.7  147.88%
60   PBR   6           0.7   107.4%
61   PBR   7           0.7   90.58%
62   PBR   8           0.7   76.03%
63   PBR   9           0.7   67.71%
64   PBR  10           0.7   64.99%
65   PBR  11           0.7   59.37%
