    index   n  totalPercent   earned
0    -ROE   1           0.7  -16.98%
1    -ROE   2           0.7    -8.4%
2    -ROE   3           0.7   20.11%
3    -ROE   4           0.7   16.49%
4    -ROE   5           0.7    5.73%
5    -ROE   6           0.7    1.83%
6    -ROE   7           0.7   39.28%
7    -ROE   8           0.7   86.11%
8    -ROE   9           0.7   80.15%
9    -ROE  10           0.7   75.64%
10   -ROE  11           0.7    84.3%
11   -ROE  12           0.7   75.85%
12   -ROE  13           0.7   70.87%
13   -ROE  14           0.7   71.89%
14   -ROE  15           0.7   84.12%
15   -ROE  16           0.7   82.69%
16   -ROE  17           0.7   74.95%
17   -ROE  18           0.7    64.0%
18   -ROE  19           0.7  104.66%
19   -ROE  20           0.7  120.89%
20   -ROE  21           0.7  127.59%
21   -ROE  22           0.7  122.64%
22   -ROE  23           0.7  121.24%
23   -ROE  24           0.7  111.73%
24   -ROE  25           0.7  108.08%
25   -ROE  26           0.7  107.03%
26   -ROE  27           0.7  108.39%
27   -ROE  28           0.7  106.04%
28   -ROE  29           0.7   97.24%
29   -ROE  30           0.7   99.49%
30   -ROE  31           0.7  102.26%
31   -ROE  32           0.7  101.72%
32   -ROE  33           0.7   96.23%
33   -ROE  34           0.7   90.27%
34   -ROE  35           0.7   82.68%
35   -ROE  36           0.7   79.62%
36   -ROE  37           0.7   78.06%
37   -ROE  38           0.7   80.65%
38   -ROE  39           0.7   77.79%
39   -ROE  40           0.7   75.17%
40   -ROE  41           0.7   74.98%
41   -ROE  42           0.7   71.38%
42   -ROE  43           0.7   84.24%
43   -ROE  44           0.7   76.67%
44   -ROE  45           0.7   80.01%
45   -ROE  46           0.7   80.05%
46   -ROE  47           0.7   78.13%
47   -ROE  48           0.7   72.28%
48   -ROE  49           0.7   72.18%
49   -ROE  50           0.7   72.21%
50    EPS   1           0.7  203.32%
51    EPS   2           0.7  111.92%
52    EPS   3           0.7   72.41%
53    EPS   4           0.7   36.14%
54    EPS   5           0.7   64.93%
55    EPS   6           0.7   41.07%
56    EPS   7           0.7   34.01%
57    EPS   8           0.7   35.42%
58    EPS   9           0.7   56.78%
59    EPS  10           0.7   48.34%
60    EPS  11           0.7   63.92%
61    EPS  12           0.7   54.59%
62    EPS  13           0.7   46.36%
63    EPS  14           0.7   39.58%
64    EPS  15           0.7   36.04%
65    EPS  16           0.7   47.77%
66    EPS  17           0.7   46.04%
67    EPS  18           0.7   54.34%
68    EPS  19           0.7   50.46%
69    EPS  20           0.7   48.01%
70    EPS  21           0.7   47.76%
71    EPS  22           0.7   42.28%
72    EPS  23           0.7   37.45%
73    EPS  24           0.7   34.13%
74    EPS  25           0.7   35.52%
75    EPS  26           0.7   38.94%
76    EPS  27           0.7   35.78%
77    EPS  28           0.7   38.55%
78    EPS  29           0.7   41.17%
79    EPS  30           0.7    40.4%
80    EPS  31           0.7   38.73%
81    EPS  32           0.7    35.1%
82    EPS  33           0.7   38.12%
83    EPS  34           0.7   42.68%
84    EPS  35           0.7   41.81%
85    EPS  36           0.7   39.33%
86    EPS  37           0.7   39.53%
87    EPS  38           0.7   40.31%
88    EPS  39           0.7   41.36%
89    EPS  40           0.7   40.06%
90    EPS  41           0.7    40.9%
91    EPS  42           0.7   39.95%
92    EPS  43           0.7   37.38%
93    EPS  44           0.7   38.39%
94    EPS  45           0.7   39.26%
95    EPS  46           0.7    40.7%
96    EPS  47           0.7   40.27%
97    EPS  48           0.7    39.4%
